number,content,sentiment,sentiment_score,stance,stance_score
1,ロマーノ カイル・ウォーカーはACミランの提案を聞くことになるだろう昨年の夏からサウジプロリーグのクラブも関心を示している ミランはもしマン・シティがウォーカーを今すぐ無料で移籍させれば移籍金にお金をかけずに済むと期待してウォーカーとの交渉に熱心だ,neutral (0.672),0.672,強く賛成 (0.246),0.246
2,ウォーカーはきれいな形で送り出して欲しい ほんとそれだけはお願いしたい,neutral (0.849),0.849,強く反対 (0.240),0.24
3,ウォーカー出してRSB誰か取るん,neutral (0.765),0.765,強く反対 (0.231),0.231
4,クサノフとレイスを獲るならディフェンス陣は ルベンアカンジアケグヴァルディオルクサノフレイスリコだから アカンジレイスリコがRBじゃない,neutral (0.756),0.756,強く反対 (0.229),0.229
5,ストーンズもおるな ただリコ以外は全員本職CBやからな,neutral (0.708),0.708,強く反対 (0.229),0.229
6,ストーンズなんか頭数に入れられんし 本職って話ならLBだっていないんだからウォーカー抜けたところを補充するって意味合いの補強は必要なくね,neutral (0.689),0.689,強く賛成 (0.232),0.232
7,ウォーカーはなぜに無料なんだろ,neutral (0.777),0.777,強く反対 (0.243),0.243
8,ウォーカーのこれまでの貢献へのリスペクトとして移籍金がウォーカーの希望の妨げにならないようにとの計らいらしい,neutral (0.713),0.713,強く賛成 (0.249),0.249
9,そうだったのかありがとう なかなか粋な計らいだね FAたぶん次も勝てそうな相手で良かった,neutral (0.768),0.768,中立 (0.219),0.219
10,ウォーカー無料みたいなもんじゃないの 功労者に華道を飾ることで次からクラブを選ばれやすくなる 半年しか活躍してないのに高杉とか言ってたアホもおったが,neutral (0.778),0.778,強く賛成 (0.222),0.222
11,ウォーカー来んのか,neutral (0.814),0.814,強く反対 (0.232),0.232
12,ラッシュにウォーカーか震えてくるな,neutral (0.709),0.709,強く反対 (0.223),0.223
13,ウォーカー冗談かと思ってたらガチなのか 補強ポイントそこなのか,neutral (0.815),0.815,強く反対 (0.227),0.227
14,まあシティが移籍金0にしたから来るんじゃないかなウォーカーも冬に出ていくと 表明してるし既にミランと契約合意と出てる 噂レベルじゃないよ( ・ω・),neutral (0.756),0.756,強く反対 (0.234),0.234
15,ラッシュフォードみたいな選手はなんだかんだいっぱいいるけどウォーカーみたいな出物は滅多にないって感じかな 衰えが見えるが経験・実力って意味では理解できる ただ若干ボヌッチのときを思い出しちゃうんだよな,neutral (0.764),0.764,強く反対 (0.231),0.231
16,セリエに適応出来るかは置いといて守備陣にベテラン置くなら右サイドバックしかないのはあるな左サイドバックはテオいるのとヒメレス伸びてきてるから出場機会奪いたくないし センターバックは今はトモリ優先だがガッビアがある程度計算できるというか身体能力以外ならトモリより上に見る人もいるだろうし,neutral (0.723),0.723,強く賛成 (0.234),0.234
17,ウォーカーさんのほうが先に決まりの雰囲気やね,neutral (0.812),0.812,中立 (0.231),0.231
18,イングランド人派閥ができてそれが良い影響をもたらすのかそうじゃないのか ラッシュフォードとか環境を変えたところでイングランド人同士でのみつるんだりとか夜の街でウェーイしそうで怖いわ あと家庭内のいざこざで単身赴任で来そうなウォーカーがそれに加わらんといいが,neutral (0.777),0.777,強く反対 (0.230),0.23
19,ウォーカーさんは妻と子供とイタリアに引っ越して夫婦関係を修復したいみたい,neutral (0.844),0.844,強く反対 (0.245),0.245
20,フォーデンきたー,neutral (0.824),0.824,強く反対 (0.229),0.229
21,きたあああああああああああ,neutral (0.731),0.731,強く反対 (0.240),0.24
22,フォーデンやったーーーーー,neutral (0.822),0.822,強く反対 (0.224),0.224
23,もうデ・ブライネほんとすき,neutral (0.796),0.796,強く反対 (0.222),0.222
24,やっぱデ・ブライネいないと始まらないわ,neutral (0.759),0.759,強く反対 (0.244),0.244
25,デ・ブライネもキレ戻ってきたからほんと嬉しい どうにかもう一点,neutral (0.780),0.78,強く反対 (0.223),0.223
26,今試合間隔あって後半も走れるからどうにかできてるけどこれから間隔詰まってきたらまた上手くいかなくなるんかな,neutral (0.722),0.722,強く反対 (0.250),0.25
27,例年なら怪我人戻ってきたりするし今年は冬に補強もしたから選手増えるしまた伸びるんじゃない 怪我人増えず新戦力が使える前提だけども,neutral (0.737),0.737,強く反対 (0.237),0.237
28,デ・ブライネさんもう2年くらい居てくれませんかね そしてギュンドアン来たか,neutral (0.803),0.803,強く反対 (0.237),0.237
29,ギュンドアン出して大丈夫かな怖いよ,neutral (0.794),0.794,中立 (0.233),0.233
30,やっぱコバチ下げるかーーー 今日も地道に守備してくれてたんだけどなー,neutral (0.765),0.765,強く反対 (0.235),0.235
31,またキターーー,neutral (0.769),0.769,強く反対 (0.223),0.223
32,フォーデンも復活キタ(゚゚),neutral (0.783),0.783,強く反対 (0.224),0.224
33,追加点やったー 左ヴィーニョもフォーデンもナイス,neutral (0.696),0.696,強く反対 (0.229),0.229
34,ブレントフォードキラーフォーデン,neutral (0.853),0.853,強く反対 (0.263),0.263
35,そういや前回のアウェーではハット決めてたんだっけか,neutral (0.737),0.737,強く反対 (0.235),0.235
36,あーやられた,neutral (0.806),0.806,中立 (0.240),0.24
37,後10分粘ってよ,neutral (0.795),0.795,強く反対 (0.240),0.24
38,緩いなぁ,neutral (0.751),0.751,強く反対 (0.252),0.252
39,まーこんだけ振られたらキツイわ,neutral (0.772),0.772,強く反対 (0.222),0.222
40,サヴィーニョさんまたエゴ出てきてますよ,neutral (0.813),0.813,強く反対 (0.235),0.235
41,でも利き足で前空いたら打っちゃうと思うわ,neutral (0.741),0.741,強く反対 (0.241),0.241
42,サヴィーニョとかいうハーランド最大の敵,neutral (0.743),0.743,強く反対 (0.231),0.231
43,何回アシストしてくれたと思ってんだ,neutral (0.708),0.708,強く反対 (0.236),0.236
44,うわーーー,neutral (0.703),0.703,強く反対 (0.227),0.227
45,えー追いつかれるんかい,neutral (0.738),0.738,強く反対 (0.248),0.248
46,決められる時に決めないから,neutral (0.744),0.744,強く反対 (0.251),0.251
47,アケすごすぎ,neutral (0.820),0.82,強く反対 (0.235),0.235
48,アケとかいう神,neutral (0.793),0.793,強く反対 (0.216),0.216
49,まあここまで出来ただけでもマシになってきてるのかな お疲れ,neutral (0.754),0.754,中立 (0.224),0.224
50,もったいない試合だわ,neutral (0.717),0.717,強く反対 (0.231),0.231
51,しかしブレントフォードのカウンターは怖いね,neutral (0.744),0.744,強く反対 (0.234),0.234
52,勝てる試合だったけどなー 意味がわからん,neutral (0.748),0.748,強く反対 (0.243),0.243
53,サヴィーニョのエゴのせいで勝てなかった,neutral (0.768),0.768,中立 (0.245),0.245
54,でもサヴィーニョのエゴのおかげで2点目が入ったんだぞ,neutral (0.712),0.712,強く反対 (0.235),0.235
55,他に素直に出せばってのが2つくらいあったから ヌネスも切り替え狙わなければってのもあったし サッカーは難しい,neutral (0.784),0.784,中立 (0.217),0.217
56,最後のキープにコバチがいてくれたら てか日程的にも今日が一番体力あって割とメンバー揃ってたのに勝てないってもう4位も厳しいだろ,neutral (0.776),0.776,強く反対 (0.239),0.239
57,ここ最近歯車が噛み合わなくなってるな,neutral (0.799),0.799,中立 (0.231),0.231
58,年末の状態に比べればずっと良くなってると思う,neutral (0.704),0.704,強く反対 (0.228),0.228
59,20から追いつかれるとかシティのサッカーじゃねぇと思ったが CLでフェイエに30から追いつかれてたんだった,neutral (0.672),0.672,中立 (0.240),0.24
60,この流れクロップリバプールで見たわ 高齢化で細かいミス増えて後ろに膨大なスペースあるから突かれて永遠と負け続ける このサッカーしたいならスカッドの入れ替え必須だよ,neutral (0.707),0.707,強く反対 (0.236),0.236
61,ギュンドアン出さなければ逃げ切れたかもしれん 知らんけど,neutral (0.720),0.72,中立 (0.228),0.228
62,直接的には関わってないしなんならビッグチャンスも作ってたけどね これまでの怠慢プレーの数々で印象悪いのは仕方ないが,neutral (0.714),0.714,強く反対 (0.244),0.244
63,一回はいい感じのボール蹴ってたけど他はちゃんと緩かったぞ,neutral (0.717),0.717,強く反対 (0.236),0.236
64,最後の失点も疲れてるとは言えサヴィーニョが全然寄せてなかったし今日はギュンドアンのせいにするのは厳しいでしょ,neutral (0.684),0.684,強く反対 (0.240),0.24
65,ユルゲン・クロップ氏がRB大宮アルディージャの今季開幕戦を現地観戦する見通しとなった ドルトムントでブンデスリーガ連覇やDFBポカール優勝リヴァプールではプレミアリーグ優勝やチャンピオンズリーグ制覇も成し遂げたクロップ氏昨季限りでリヴァプールを退団するとレッドブル・グループのグローバルフットボール責任者に就任したことが先日に発表された 今季にJ2に昇格した大宮との関わりも注目される中レッドブル公式はクロップ氏が大宮の開幕節を現地観戦すると報告フットボール本部長を務める原博実氏はX上での報告を引用し待ってますよと投稿した 大宮は2月15日に行われる明治安田J2リーグ第1節でモンテディオ山形をホームに迎える,neutral (0.761),0.761,強く賛成 (0.258),0.258
66,クロップだけ見に行きたい,neutral (0.802),0.802,強く反対 (0.247),0.247
67,ライプツィヒの試合にも来てたし仕事してるな シェシュコのゴラッソを生で見たの羨ましい,neutral (0.812),0.812,強く賛成 (0.218),0.218
68,マイクパフォーマンスとかあるのかな,neutral (0.743),0.743,強く反対 (0.225),0.225
69,クロップ見れるなら関西からでも行きたい,neutral (0.805),0.805,強く反対 (0.235),0.235
70,スーパードライを飲みながら大宮ステーキ丼とウィンナー盛り合わせナクスタカレーを頬張るクロップの姿が,neutral (0.764),0.764,中立 (0.227),0.227
71,香川の試合も観に行こう,neutral (0.789),0.789,強く反対 (0.232),0.232
72,クロップのサインほしいな,neutral (0.803),0.803,強く反対 (0.233),0.233
73,初来日かな ドルが来日した時は監督もうトゥヘルに変わってたよね,neutral (0.774),0.774,強く賛成 (0.232),0.232
74,日本代表監督になってほしいわぁ,neutral (0.767),0.767,強く賛成 (0.237),0.237
75,試合が終わったらクロップを胴上げだー,neutral (0.703),0.703,強く反対 (0.254),0.254
76,マジか ちょっとヤバ過ぎる,neutral (0.783),0.783,強く反対 (0.224),0.224
77,大宮はJリーグにおける黒船襲来でありこの外圧により全体が激震するだろう そしてそれははJリーグが文化として日本に根付く契機になるだろう,neutral (0.740),0.74,強く反対 (0.229),0.229
78,山形に勝ったら昇格ある そこまで甘くないと思うが,neutral (0.719),0.719,強く反対 (0.232),0.232
79,監督はもうやらないって断言してたな,neutral (0.718),0.718,強く賛成 (0.247),0.247
80,疲れ果ててそんなこと言ってるんだろうけど少し休んだらまた修羅場に戻りたくなるだろうね,neutral (0.765),0.765,中立 (0.230),0.23
81,もしも次に監督するならドイツ代表監督かバルサかレアルしか選択肢もないしな 現実的なところだとドイツ代表くらいしかなさそう,neutral (0.729),0.729,強く賛成 (0.243),0.243
82,J2に昇格したってことはもっと下だったの,neutral (0.692),0.692,強く賛成 (0.231),0.231
83,昨シーズンはJ3,neutral (0.877),0.877,強く反対 (0.259),0.259
84,クロップ来るのか,neutral (0.781),0.781,強く反対 (0.228),0.228
85,クラブスタッフになるとかならビビるが 来場するだけじゃなあ,neutral (0.731),0.731,中立 (0.227),0.227
86,日本のアンフィールドへようこそクロップ氏がJ2開幕戦を現地観戦へ レッドブル・ジャパンが15日に公式X(旧ツイッター)を更新し ユルゲン・クロップ氏がレッドブル傘下となったRB大宮アルディージャのJ2開幕戦を現地観戦すると伝えた,neutral (0.741),0.741,強く賛成 (0.257),0.257
87,大宮nack5がリヴァプールアンフィールドなら浦和はエヴァートンで埼スタはグディソンかよ そりゃそうなるよな,neutral (0.752),0.752,強く反対 (0.243),0.243
88,あんな小さなスタジアムが日本のアンフィールドって,neutral (0.808),0.808,中立 (0.236),0.236
89,全然大宮サポじゃないけどクロップみにナクスタ行こうかな,neutral (0.765),0.765,中立 (0.231),0.231
90,ケンユーが見つかっちまうか,neutral (0.783),0.783,強く反対 (0.235),0.235
91,クロップもあの歩道もないような横ビュンビュン車が通るところ歩いてNACK5行くのか,neutral (0.726),0.726,強く反対 (0.243),0.243
92,ピッチに降りて軽く挨拶と拳突き上げイエアイエアイエアしてほしいよな 大宮サポができるか微妙だけど,neutral (0.730),0.73,強く賛成 (0.231),0.231
93,なんでクロップが大宮駅から徒歩でNACK5スタジアム行くんだよw,neutral (0.773),0.773,強く反対 (0.233),0.233
94,蒙古タンメン食ってナック5の傾斜で転がってマンキツするだろクロップも,neutral (0.786),0.786,中立 (0.222),0.222
95,勝ったー,neutral (0.732),0.732,強く反対 (0.234),0.234
96,きつかったわ,neutral (0.771),0.771,強く反対 (0.238),0.238
97,結果がすべてやナイス,neutral (0.781),0.781,強く反対 (0.221),0.221
98,いよおおおおおおおおおおおし でかい1勝,neutral (0.828),0.828,強く反対 (0.242),0.242
99,スケリーにMOTMをあげたい,neutral (0.796),0.796,強く反対 (0.247),0.247
100,ノースロンドンフォーエバー,neutral (0.859),0.859,強く反対 (0.246),0.246
101,よしよしよし ナイス逃げ切り 次も勝ってリバポ追うぞ全然チャンスあるぜ,neutral (0.734),0.734,強く反対 (0.234),0.234
102,いよっしゃー 今のチーム状況でノーロン2タテは素晴らしい,neutral (0.764),0.764,強く反対 (0.233),0.233
103,チームとして一つキッカケになるダービーでしっかり逆転して勝ったんだからこっからだぞマジでチームのメンタルと自信を取り戻してくれ,neutral (0.692),0.692,強く反対 (0.230),0.23
104,よーしよし 次はヴィラかきっちー,neutral (0.776),0.776,強く反対 (0.226),0.226
